Date Reported,Organization Name,Date of Breach,Number of Washingtonians Affected,Information Compromised
7/28/23,Bellingham Technical College,5/30/23,1600,Name; Social Security Number; Full Date of Birth; Student ID Number
7/27/23,"HopSkipDrive, Inc.",5/31/23,14757,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information; Other
7/27/23,"Teachers Insurance and Annuity Association of America (""TIAA",5/29/23,56331,Name; Social Security Number; Full Date of Birth; Other
7/27/23,The Prudential Insurance Company of America,5/29/23,39674,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
7/27/23,"Lumico Life Insurance Company, Elips Life Insurance Company",5/29/23,6209,Name; Social Security Number; Full Date of Birth; Other
7/26/23,"HRM Enterprises, Inc.",11/24/21,1414,Name; Financial & Banking Information; Other
7/26/23,UnitedHealthcare Student Resources,5/27/23,1592,Name; Social Security Number; Full Date of Birth; Student ID Number; Health Insurance Policy or ID Number; Medical Information; Other
7/25/23,The Johns Hopkins University,5/29/23,608,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
7/25/23,"Corebridge Financial, Inc.",5/29/23,101027,Name; Social Security Number; Full Date of Birth; Other
7/24/23,"Togetherwork Holdings, LLC",,866,Name; Full Date of Birth; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
7/24/23,Jackson National Life Insurance Company,5/29/23,22709,Name; Social Security Number; Full Date of Birth
7/21/23,"Creedmoor Sports, Inc.",11/24/21,518,Name; Financial & Banking Information
7/21/23,Aurora National Life Assurance Company,5/29/23,3670,Name; Social Security Number; Other
7/20/23,1st Source Bank,6/1/23,777,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
7/20/23,Athene Annuity and Life Company and its affiliates,5/29/23,3814,Name; Social Security Number; Full Date of Birth
7/20/23,"Fidelity & Guaranty Life Insurance Company (""F&G"")",5/29/23,12229,Name; Social Security Number; Full Date of Birth
7/19/23,Rite Aid Corporation,5/27/23,1409,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
7/17/23,Quorum Federal Credit Union,5/28/23,802,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
7/17/23,"Fidelity National Information Services, Inc. / Sound Community Bank",5/31/23,13795,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
7/17/23,"Milliman Solutions, LLC d/b/a Milliman Intelliscript",5/29/23,17235,Name; Social Security Number; Full Date of Birth
7/16/23,The Colorado State University System,5/29/23,340,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Student ID Number
7/14/23,Idea 247 Inc. (d/b/a Idea Financial),4/26/23,671,Name; Social Security Number; Full Date of Birth; Other
7/12/23,"Pension Benefit Information, LLC (Fidelity Investments, Continental Casualty, Company)",5/29/23,18856,Name; Social Security Number; Full Date of Birth; Other
7/12/23,Transamerica Life Insurance Company,5/29/23,54773,Name; Social Security Number; Full Date of Birth; Other
7/11/23,Tacoma-Pierce County Health Department,11/18/18,9500,Name; Driver's License or Washington ID Card Number; Full Date of Birth; Other
7/10/23,ARx Patient Solutions,3/23/22,517,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information; Other
7/10/23,Premera Blue Cross,5/31/23,33237,Name; Full Date of Birth; Health Insurance Policy or ID Number; Other
7/10/23,PH TECH,5/30/23,3288,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number
7/6/23,LEM Products Direct LLC,11/24/21,640,Name; Financial & Banking Information
6/30/23,Lansing Community College,12/25/22,1120,Name; Social Security Number; Full Date of Birth
6/30/23,Imagine360,1/28/23,1478,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
6/30/23,"Clearwater Credit Union (""Clearwater"")",5/30/23,518,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
6/30/23,"Orrick, Herrington & Sutcliffe LLP (CHI Vision, Charles Schwab & Co., Inc., Fujitsu North America, Inc.)",3/7/23,6376,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
6/30/23,Bristol Myers Squibb,5/27/23,2231,Name; Social Security Number; Full Date of Birth; Other
6/28/23,Sebastian Kanczugowski,10/21/22,994,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
6/28/23,Talcott Resolution Life Insurance Company,5/29/23,12525,Name; Social Security Number; Full Date of Birth
6/27/23,Clallam County Public Utility District,11/14/22,1140,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Military ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information
6/23/23,Wilton Reassurance Company,5/29/23,8148,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number
6/23/23,David Douglas School District,1/29/23,1148,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
6/21/23,USAA,12/20/22,546,Name; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Other
6/20/23,Mondelez Global LLC,2/23/23,1102,Name; Social Security Number; Full Date of Birth
6/15/23,Harvard Pilgrim Health Care,3/28/23,8353,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
6/14/23,Connexin Software Inc.,,29600,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
6/14/23,International Chapter of the P.E.O. Sisterhood,4/14/23,3450,Name; Social Security Number; Full Date of Birth; Other
6/13/23,GREENGEEKS LLC,6/11/23,1000,Name; Financial & Banking Information; Username and Password/Security Question Answers; Other
6/7/23,"CGM, Inc.",12/15/22,4174,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Military ID Number; Passport Number
6/5/23,"Reventics, LLC",12/15/22,4764,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information; Other
6/2/23,"T. Rowe Price Group, Inc.",3/7/23,1,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
5/31/23,"Stanford, Munko, & Co. PLLC",3/23/23,3086,Name; Social Security Number; Full Date of Birth
5/30/23,Over The Top (OTT),11/29/22,22723,Name; Full Date of Birth; Email Address and Password/Security Question Answers
5/26/23,Capital One,2/1/23,605,Name; Social Security Number; Financial & Banking Information; Other
5/26/23,City of Woodland,,2600,Name; Other
5/26/23,"Managed Care of North America, Inc.",2/26/23,13823,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
5/25/23,"European Wax Center, Inc.",4/18/23,1592,Name; Full Date of Birth
5/24/23,"SLT Lending SPV, Inc.",3/15/23,1748,Name; Driver's License or Washington ID Card Number; Medical Information
5/23/23,"Heavy Hammer, Inc.",4/21/23,563,Name; Financial & Banking Information
5/22/23,"NCB Management Services, Inc.",2/1/23,15899,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
5/22/23,Apria Healthcare LLC,4/5/19,69686,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Biometric Data
5/19/23,University of Puget Sound,,623,Name; Email Address and Password/Security Question Answers; Other
5/18/23,"DISH Network, LLC",2/22/23,3391,Other
5/17/23,Sysco Corporation,1/14/23,1977,Name; Social Security Number; Financial & Banking Information
5/16/23,HumanGood Washington,1/29/23,1411,Name; Social Security Number; Full Date of Birth; Other
5/12/23,Fibre Federal Credit Union,4/20/23,581,Financial & Banking Information; Other
5/11/23,"Brightly Software, Inc.",4/20/23,0,Name; Email Address and Password/Security Question Answers; Other
5/3/23,"NextGen Healthcare, Inc.",3/29/23,21981,Name; Social Security Number; Full Date of Birth
5/2/23,"Carvin Software, LLC",2/22/23,3470,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
4/29/23,Cadence Innovations Group,2/20/23,541,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number
4/28/23,Pierce County Public Transportation Benefit Area Corporation,2/11/23,4813,Name; Social Security Number; Full Date of Birth; Medical Information; Driver's License or Washington ID Card Number; Health Insurance Policy or ID Number
4/26/23,"Carrington Mortgage Services, LLC",3/9/23,5032,Name; Financial & Banking Information; Other
4/21/23,American Bar Association,3/6/23,27736,Username and Password/Security Question Answers
4/21/23,Sno-Isle Regional Library System,3/22/23,531,Name; Social Security Number; Financial & Banking Information
4/20/23,"Albertsons Companies, Inc.",12/22/22,1882,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
4/18/23,Advanced Health Media on behalf of its clients,11/27/22,587,Name; Social Security Number; Driver's License or Washington ID Card Number
4/14/23,MiniMed Distribution Corp,9/10/20,Unknown,Name; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
4/14/23,Shoreline Community College,2/27/23,400000,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Passport Number; Medical Information
4/13/23,"Nations Benefit Holdings, LLC",1/30/23,39020,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
4/12/23,Prescott College,10/26/22,7164,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Medical Information; Other
4/11/23,"Regal Medical Group, Inc.",12/1/22,2224,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
4/10/23,"Brightline, Inc.",1/30/23,26333,Name; Social Security Number; Full Date of Birth; Other
4/7/23,"90 Degree Benefits, Inc. - Wisconsin",12/5/22,2704,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
4/7/23,"Yum! Brands, Inc.",1/13/23,1220,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
3/31/23,Southwest Healthcare Services,10/28/22,1225,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
3/30/23,"TMX Finance Corporate Services, Inc. & affiliates",12/10/22,571,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Military ID Number; Passport Number
3/30/23,"Svanaco, Inc. dba Americaneagle.com",7/13/22,1475,Name; Financial & Banking Information
3/24/23,"Bank of America, N.A. concerning breach at NCB Manag. Serv.",2/1/23,12510,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
3/14/23,"mscripts, LLC",9/30/16,1394,Name; Medical Information
3/14/23,Art Center Inc. dba Northwest College of Art & Design,10/27/22,1081,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
3/14/23,"Independent Living Systems, LLC",6/30/22,6017,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
3/14/23,Allstate Insurance Company,1/8/23,561,Name; Financial & Banking Information
3/14/23,"Inland Technologies Holdings Inc. (""Inland"")",2/7/23,256,Name; Social Security Number
3/10/23,ZOLL Medical Corporation,1/28/23,6176,Name; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
3/7/23,"CHSPSC, LLC",1/28/23,559,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information
3/6/23,South Whidbey Fire & EMS,4/21/22,582,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Username and Password/Security Question Answers
3/5/23,Premera Blue Cross,1/28/23,36211,Name; Full Date of Birth; Health Insurance Policy or ID Number; Other
3/3/23,"Cerebral, Inc",10/12/19,86669,Name; Full Date of Birth; Medical Information; Other
3/2/23,"Squishable.com, Inc.",5/26/22,671,Name; Financial & Banking Information
2/28/23,Hatch Bank,1/30/23,2580,Name; Social Security Number; Full Date of Birth
2/28/23,REC Silicon,10/25/22,647,Name; Social Security Number; Medical Information
2/24/23,Crystal Bay Casino,11/27/22,1480,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
2/21/23,"TIAA, FSB",,53,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record)
2/17/23,"Rancho Mesquite Casino, Inc.",11/9/22,4368,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Passport Number
2/17/23,University of Washington,2/4/22,534,Name; Full Date of Birth; Medical Information
2/17/23,"Rockler Companies, Inc.",5/13/23,1835,Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
2/16/23,Integrative Dentistry,7/12/22,2281,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Biometric Data; Email Address and Password/Security Question Answers
2/15/23,Asotin County Public Facilities District,4/4/22,1090,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers
2/13/23,Evergreen Treatment Services,12/12/22,11247,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
2/9/23,Northwest Mothers Milk Bank,1/4/23,1153,Name; Full Date of Birth; Medical Information; Other
2/6/23,Highmark,12/13/22,1980,Name; Health Insurance Policy or ID Number; Medical Information; Other
2/5/23,Mutual of America Life Insurance Company,8/25/22,1043,Name; Full Date of Birth
2/3/23,"Rise Interactive Media & Analytics, LLC",11/14/22,711,Name; Health Insurance Policy or ID Number; Medical Information
1/25/23,Quality Behavioral Health,11/24/22,2752,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Military ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information
1/24/23,"Zacks Investment Research, Inc.",11/1/21,18815,Name; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
1/20/23,Pacific Lutheran University,1/4/23,708,Name; Student ID Number
1/19/23,T-Mobile USA,11/25/22,772593,Name; Full Date of Birth; Other
1/18/23,"Morgan Industrial, Inc. dba Omega Morgan",10/23/22,933,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
1/18/23,Pierce County Auditor's Office,12/20/22,463000,Social Security Number
1/18/23,"Morgan Industrial, Inc. dba Omega Morgan",10/23/22,933,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
1/12/23,"General Mills, Inc. (""General Mills"")",11/18/22,18268,Name; Full Date of Birth
1/11/23,TruConnect,2/20/22,16380,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
1/5/23,Insulet Corporation,12/1/22,558,Medical Information
1/4/23,Knox College,,1003,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number
12/29/22,"Bay Bridge Administrators, LLC",9/3/22,6980,Name; Social Security Number; Driver's License or Washington ID Card Number; Health Insurance Policy or ID Number; Medical Information
12/28/22,CellNetix Pathology and Laboratories,11/7/22,1936,Name; Full Date of Birth; Medical Information
12/28/22,"Robert S Miller, LICSW, ACSW, PLLC",12/2/22,902,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Email Address and Password/Security Question Answers; Other
12/22/22,"Steel River Systems, LLC",5/25/22,1368,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
12/22/22,Your Patient Advisor by Captify Health,,36364,Name; Financial & Banking Information
12/22/22,Human Investing,7/20/22,1898,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
12/21/22,"BetMGM, LLC (""BetMGM"")",5/21/22,2022,Name; Social Security Number; Full Date of Birth; Other
12/20/22,Ethos Technologies Inc.,8/4/22,662,Social Security Number
12/19/22,P2 Energy Solutions,11/8/21,573,Name; Social Security Number
12/16/22,Hope College,,1225,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Student ID Number
12/16/22,Snohomish County PUD No. 1,1/1/15,1132,Name; Social Security Number; Full Date of Birth; Email Address and Password/Security Question Answers; Other
12/15/22,"Order Express, Inc.",7/29/22,1168,Name; Social Security Number; Driver's License or Washington ID Card Number; Passport Number; Other
12/13/22,"Smith, Gambrell, & Russell, LLP",7/19/21,516,Name; Social Security Number; Driver's License or Washington ID Card Number; Medical Information
12/12/22,Sequoia Benefits and Insurance Services LLC,9/22/22,20949,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information; Other
12/7/22,Veros Credit,12/10/21,535,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers
12/7/22,SAIF Corporation,10/24/22,Unknown,Name; Social Security Number; Financial & Banking Information; Medical Information
12/2/22,Snap Finance LLC and Snap RTO LLC,6/23/22,1266,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
12/1/22,CommonSpirit Health,9/16/22,581968,Name; Full Date of Birth
11/28/22,"Vaupell Holdings, Inc.",10/13/22,1009,Name; Social Security Number; Full Date of Birth
11/23/22,"loanDepot.com, LLC",11/1/20,801,Financial & Banking Information
11/23/22,Legacy Health,7/25/22,1608,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
11/23/22,Hanesbrands Inc.,5/24/22,644,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
11/21/22,Receivables Performance Management LLC,4/8/21,48252,Name; Social Security Number
11/15/22,"Pro-Tem, Inc. dba PTI Systems",7/7/22,677,Name; Social Security Number; Full Date of Birth
11/14/22,Yakima Neighborhood Health Services,10/4/22,2664,Name; Full Date of Birth; Medical Information
11/2/22,"Convergent Outsourcing, Inc.",6/17/22,2549,Name; Social Security Number; Financial & Banking Information
11/2/22,"Ethos Group, Inc.",7/30/22,39864,Name; Driver's License or Washington ID Card Number; Full Date of Birth
11/1/22,"Alta Forest Products, LLC",8/22/22,1635,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
11/1/22,"Pathward, N.A.",9/4/22,2639,Name; Financial & Banking Information
10/31/22,"Beyond 79, LLC",7/11/22,1664,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
10/28/22,"SightCare, Inc.",4/20/21,700,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
10/28/22,"Nationwide Optometry, P.C.",4/20/21,107,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
10/25/22,Providence WA Anesthesia Services PC,7/9/22,56578,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
10/21/22,Vivendi Ticketing US LLS d/b/a See Tickets US,6/25/19,7841,Name; Financial & Banking Information; Other
10/19/22,Country Doctor Community Health Clinic,10/14/22,21600,Name; Social Security Number; Full Date of Birth; Medical Information
10/17/22,Barran Liebman LLP,8/19/21,2707,Name; Financial & Banking Information; Student ID Number; Health Insurance Policy or ID Number; Medical Information; Biometric Data; Other
10/17/22,North Pacific Paper Company,9/28/22,972,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information
10/10/22,Bellevue School District No. 405,3/30/22,573,Name; Social Security Number; Medical Information
10/6/22,32 Bar Blues LLC,9/18/20,2037,Financial & Banking Information
10/5/22,CORE Health,9/29/22,4,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
10/4/22,"Philippine Airlines, Inc.",7/18/22,505,Name; Full Date of Birth; Other
10/4/22,Whitworth University,9/6/22,41746,Name; Social Security Number; Driver's License or Washington ID Card Number; Student ID Number; Passport Number; Health Insurance Policy or ID Number
10/4/22,Columbia River Mental Health Services,5/14/21,17020,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers
10/3/22,"Boca Ventures Ltd /Bath Fitter /Plumb Fit, Inc.",11/1/22,200,Name; Financial & Banking Information
9/30/22,focusIT,6/1/22,4902,Name; Social Security Number; Full Date of Birth
9/29/22,"Swissport North America, Inc.",2/1/22,1131,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Medical Information
9/29/22,"City of Tucson, AZ",5/17/22,664,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
9/22/22,CORE Cashless,1/29/22,103,Name; Financial & Banking Information; Email Address and Password/Security Question Answers
9/22/22,University of Washington/UW Medicine,5/18/22,3707,Name; Medical Information; Other
9/22/22,"Savannah College of Art and Design, Inc.",8/22/22,575,Name; Social Security Number; Full Date of Birth; Username and Password/Security Question Answers
9/21/22,Seattle Children's Hospital,5/18/22,6240,Name; Medical Information; Other
9/20/22,"Newcourse Communications, Inc.",4/27/22,13214,Name; Social Security Number; Other
9/15/22,"WellDyneRx, LLC",10/30/21,585,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
9/12/22,Wilson's Gun Shop Inc. d/b/a Wilson Combat,9/17/20,3788,Name; Financial & Banking Information
9/11/22,Silver Superstore,9/20/20,927,Name; Financial & Banking Information
9/9/22,"Radiology Associates of Albuquerque and Advanced Imaging, LL",12/22/20,882,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Biometric Data
9/9/22,"U-Haul International, Inc.",11/5/21,61770,Name; Driver's License or Washington ID Card Number; Full Date of Birth
9/8/22,"Humana, Inc.",5/7/22,639,Name; Social Security Number; Driver's License or Washington ID Card Number; Health Insurance Policy or ID Number; Other
9/3/22,"Ballistic Products, Inc.",9/18/20,1242,Name; Financial & Banking Information; Other
9/2/22,"Samsung Electronics America, Inc.",7/22/22,174929,Name; Full Date of Birth
9/1/22,"MMA Operations, Inc.",,1378,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
9/1/22,Vermont Nut Free Chocolates,9/18/20,521,Name; Financial & Banking Information; Other
8/29/22,"Neopets, Inc.",1/3/21,Unknown,Name; Full Date of Birth; Email Address and Password/Security Question Answers; Other
8/29/22,"Bridgestone Americas, Inc.",2/9/22,1066,Name; Full Date of Birth
8/26/22,KeyBank,5/26/22,54295,Name; Social Security Number; Other
8/26/22,"Warner Norcross & Judd, LLP",10/22/21,780,Name; Health Insurance Policy or ID Number
8/26/22,"Nelnet Servicing, LLC",6/1/22,35151,Name; Social Security Number
8/19/22,Community Loan Servicing LLC,10/27/21,7518,Name; Social Security Number; Financial & Banking Information
8/18/22,"Sturm, Ruger & Company, Inc.",9/18/20,4866,Name; Financial & Banking Information; Other
8/16/22,"Burnt Ridge Nursery and Orchards, Inc.",9/18/20,2619,Name; Financial & Banking Information; Other
8/15/22,"Warner Norcross & Judd, LLP",10/22/21,747,Name; Social Security Number; Driver's License or Washington ID Card Number
8/12/22,Centralia College,1/19/22,38418,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Student ID Number
8/12/22,Overlake Medical Center & Clinics,6/13/22,519,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
8/11/22,Audience Rewards,7/10/22,545,Name; Full Date of Birth; Email Address and Password/Security Question Answers; Other
8/5/22,R. R. Donnelley & Sons Company (RRD),11/29/21,648,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
8/4/22,"Tally Technologies, Inc.",7/5/22,46,Name; Other
8/3/22,A. Duda & Sons Inc.,6/19/22,5,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
8/3/22,Marymount Manhattan College,11/9/21,1016,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Student ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information
8/2/22,Illuminate Education on behalf of Federal Way School Distric,12/28/21,36773,Name; Full Date of Birth; Student ID Number; Other
8/1/22,Camping World / Good Sam (CWGS),1/14/22,549,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Military ID Number; Passport Number
7/28/22,Whatcom County Library System,,630,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Username and Password/Security Question Answers
7/27/22,"OneTouchPoint, Inc.",4/27/22,1321,Name; Health Insurance Policy or ID Number; Medical Information
7/26/22,DigiPen Institute of Technology,4/21/22,5164,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Student ID Number; Health Insurance Policy or ID Number
7/25/22,"Kitsap Bank (Kaye-Smith Enterprises, Inc)",5/18/22,10154,Name; Financial & Banking Information; Other
7/25/22,City of Bellingham (Bellingham Public Library),,735,Name; Full Date of Birth; Other
7/25/22,"Washington Federal Bank, dba WaFd Bank (Kaye-Smith Enterprise, Inc.)",5/18/22,36119,Name; Financial & Banking Information; Other
7/25/22,"Alaska USA Credit Union (Kaye-Smith Enterprises, Inc.)",5/18/23,2262,Name; Financial & Banking Information; Other
7/25/22,"MultiCare Health System, Inc. (Kaye-Smith Enterprises, Inc.)",5/18/22,22679,Name; Social Security Number; Other
7/25/22,Boeing Employees Credit Union,,305987,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
7/25/22,"Spokane Teachers Credit Union (Kaye-Smith Enterprises, Inc.)",10/18/23,1517,Name; Financial & Banking Information; Other
7/22/22,"Zulily, LLC",2/23/22,695,Financial & Banking Information
7/22/22,"Shields Health Care Group, Inc.",3/7/22,1018,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
7/22/22,Sound Health & Wellness Trust c/o Zenith American Solutions,6/24/22,36994,Name; Social Security Number; Health Insurance Policy or ID Number
7/19/22,"PPA Holdings, Inc.",7/23/19,629,Name; Financial & Banking Information; Other
7/18/22,Premera Blue Cross,4/27/22,1303,Name; Health Insurance Policy or ID Number; Medical Information
7/14/22,"Coordinated Care of Washington, Inc. & Coordinated Care Corp",4/27/22,1021,Name; Health Insurance Policy or ID Number; Medical Information; Other
7/13/22,"United Marketing, Inc.",4/9/21,4639,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information
7/11/22,"Afni, Inc.",,3818,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
7/8/22,Heritage Life Insurance Company,3/12/22,1277,Name; Social Security Number
7/1/22,Professional Finance Company,2/22/22,18346,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number
7/1/22,Lending Tree,,901,Name; Social Security Number; Full Date of Birth
7/1/22,Fuller & Fuller,10/18/21,704,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
7/1/22,Fuller & Fuller,10/18/21,704,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
